dataset,diversity_fn,repulsion_weight,n_models,accept_rate,eps,mcmc_pred_hamming,ellipsoid_pred_hamming_avg,ellipsoid_pred_hamming_std,mcmc_support_hamming,ellipsoid_support_hamming_avg,ellipsoid_support_hamming_std,mcmc_weight_l1,ellipsoid_weight_l1_avg,ellipsoid_weight_l1_std,mcmc_shape_l1,ellipsoid_shape_l1_avg,ellipsoid_shape_l1_std,mcmc_monotonicity_entropy,ellipsoid_monotonicity_entropy_avg,ellipsoid_monotonicity_entropy_std,n_ellipsoids,runtime_s
compas,monotonicity_entropy,0.0,1323,0.276,0.05,0.06760113934460167,0.04083071691581612,0.012230197522257492,0.37135994940041206,0.0,0.0,0.2016757934446473,0.09084167524614388,0.034744337096703284,0.6016657379684197,0.4566097880250447,0.27288420154154336,0.49278195654092266,0.3117808702090338,0.1487205979371308,63,896.3794174194336
compas,monotonicity_entropy,0.0001,1029,0.2808,0.05,0.06641006022023584,0.04266104149922014,0.013660750524267717,0.38230278591684647,0.0,0.0,0.2069176823466013,0.09530615414776468,0.02976904208055932,0.6107921206553981,0.468048239101253,0.2404431794853386,0.5360744391068266,0.32344513273678466,0.14662445030915947,49,782.5127749443054
compas,monotonicity_entropy,0.001,1218,0.2796,0.05,0.07065213914266524,0.04285090158185084,0.013067373224468043,0.37024291079951976,0.0,0.0,0.19734042449730066,0.08522247441406644,0.026710404492343385,0.5508172141176589,0.38439846541866046,0.19302559340136274,0.584068709575853,0.32597622717120117,0.1596139375012492,58,836.1077845096588
compas,monotonicity_entropy,0.01,987,0.2286,0.05,0.07462268535271095,0.048768239036405724,0.01387675053112992,0.3411087354224927,0.0,0.0,0.1919465192668141,0.08760224526384758,0.029634721172583405,0.5630677217602645,0.4128326064868756,0.2632203234398995,0.6811583305626726,0.35821231297319867,0.15325340767837817,47,722.1916694641113
compas,monotonicity_entropy,0.02,777,0.2203,0.05,0.07287137102549225,0.04678190520872112,0.014442661641879049,0.35712228041426014,0.0,0.0,0.20118262638742992,0.09199243530605306,0.03520284424486302,0.5998211396998807,0.4405233061479079,0.27859440834086613,0.6951025746143973,0.3545559837955262,0.14907443168377008,37,697.8412232398987
compas,monotonicity_entropy,0.03,987,0.2002,0.05,0.07272546845090688,0.047285427730865026,0.014962113205108516,0.3371762921068051,0.0,0.0,0.19109728369103565,0.08623124540728581,0.027602645086576554,0.5653349534710826,0.4221362118391744,0.2392797329234569,0.6963333982390919,0.3712700555554276,0.1687026098840381,47,692.8550224304199
compas,monotonicity_entropy,0.04,840,0.2004,0.05,0.06897973714212546,0.046464564680566686,0.013824918724112078,0.3264691622391466,0.0,0.0,0.18575738541337447,0.08262594821327193,0.03151867756583696,0.5618657314572961,0.3671600231558879,0.24496859139965918,0.6602427171129857,0.3230519260840449,0.16349448836792368,40,670.8812689781189
compas,monotonicity_entropy,0.05,777,0.2048,0.05,0.07208760589612827,0.047195880101475005,0.012643025396851451,0.33956864430392303,0.0,0.0,0.19522853005394813,0.09349725465957416,0.032135529528009354,0.6227230939490468,0.4805742130280286,0.25013975862430665,0.6857956436697169,0.35549182981791627,0.1468589317208617,37,669.6385746002197
compas,monotonicity_entropy,0.1,36,0.1791,0.05,0.06830521601044258,0.1081792847358514,0.03742744189404434,0.30425073984396017,0.0,0.0,0.12932913228410992,0.20581897791456852,0.0878651909138281,0.2552140253366856,1.0404917731520784,0.6444126544402646,0.36679590471198775,0.26256133337895604,0.162592517582456,36,255.88445782661438
compas,monotonicity_entropy,0.5,45,0.1688,0.05,0.07128736328099293,0.09593869908585355,0.030170152820317583,0.29683273412086975,0.0,0.0,0.13280179569316547,0.18601940985674606,0.0825451349296734,0.21415441704909605,0.9440688349151937,0.6203791528105906,0.3691529117246605,0.37299930059151093,0.15430323539034632,45,253.6908323764801
compas,monotonicity_entropy,1.0,41,0.1943,0.05,0.06675800795940492,0.0973284514247457,0.03519477774214599,0.2968582058701943,0.0,0.0,0.12799214134818857,0.18549320935628824,0.08289934493265137,0.19696100927942184,0.9441150125027745,0.6921569985738468,0.3321799780123724,0.3609013027073045,0.17707881699475786,41,266.4731397628784
compas,monotonicity_entropy,1e-05,1218,0.2751,0.05,0.07156659226400931,0.04253199020138176,0.014923932654188605,0.36280013273866674,0.0,0.0,0.1961092475285823,0.08510137324863437,0.032730759531451895,0.5375922856018157,0.3862324952551567,0.2372368244035176,0.5774241009634196,0.3240070817985838,0.15195186666288626,58,829.9067099094391
compas,prediction_hamming,0.0,1323,0.276,0.05,0.06760113934460167,0.04083071691581612,0.012230197522257492,0.37135994940041206,0.0,0.0,0.2016757934446473,0.09084167524614388,0.034744337096703284,0.6016657379684197,0.4566097880250447,0.27288420154154336,0.49278195654092266,0.3117808702090338,0.1487205979371308,63,885.7904796600342
compas,prediction_hamming,0.0001,1071,0.2992,0.05,0.061899948011391856,0.03537357222455912,0.015002524470353145,0.3822700123927283,0.0,0.0,0.194951643531866,0.08109903440953078,0.034077566111339934,0.5596995216772473,0.3728854505250829,0.21598656507491457,0.5646045068548431,0.30541815484158086,0.1595001936827597,51,821.0188236236572
compas,prediction_hamming,0.001,1596,0.2993,0.05,0.08542077458505906,0.050739948780028354,0.017114682067813473,0.3795161619579472,0.0,0.0,0.21982885057923243,0.10105572635923622,0.033377293618610616,0.6516312301149962,0.49528193697074047,0.25701169679526786,0.5136399107118842,0.3334495194680811,0.14153552420228124,76,977.9171946048737
compas,prediction_hamming,0.01,1155,0.2501,0.05,0.15136927332863492,0.0970778715187994,0.02722386811308502,0.36399633618445126,0.0,0.0,0.2876044679015471,0.16021859290742288,0.04888132750453064,0.9909661365466206,0.8321393543623378,0.3655611575038527,0.6448484692441688,0.3842300723022801,0.13656182749564935,55,689.1168713569641
compas,prediction_hamming,0.02,557,0.1601,0.05,0.1841711034163001,0.12867612306072393,0.0383533669172603,0.341232196362619,0.0,0.0,0.3239443947088252,0.19943300380609008,0.07828037664706813,1.2296243336214798,1.1010817787765044,0.6285975048301816,0.5939989502983575,0.41291543987970286,0.13199074011916118,30,502.8816149234772
compas,prediction_hamming,0.03,227,0.1353,0.05,0.19796065683424394,0.14175957779146195,0.057055022528524464,0.32719509398979396,0.0,0.0,0.3102619057998124,0.19611084234372644,0.07615817288213186,1.1268577804038096,1.0173979687211547,0.48989877683611105,0.5719106925719466,0.369006227640091,0.1776057270633983,18,446.64135336875916
compas,prediction_hamming,0.04,178,0.1327,0.05,0.18408436426710445,0.13588883357437165,0.0595242575543526,0.3229721107736272,0.0,0.0,0.32816265558289076,0.17966090532729806,0.0947376890739383,1.299626529618891,1.1395835855616154,0.7025874482754882,0.45755355931637426,0.4123316103606799,0.1665106789586454,10,446.8979494571686
compas,prediction_hamming,0.05,179,0.1358,0.05,0.18446686124704736,0.13013949176265852,0.06865824404995108,0.33374648510685384,0.0,0.0,0.30115694733583015,0.20650866525445863,0.10208602319340668,1.041953995265324,1.3127627824741157,0.7642433955942723,0.660754389852762,0.3582095896958602,0.1465484967295023,14,422.70856046676636
compas,prediction_hamming,0.1,25,0.1044,0.05,0.170622074224217,0.0868492866676594,0.05151910478551362,0.3353672316384181,0.0,0.0,0.1460124024769271,0.17044549385096475,0.0863464304991928,0.26802266274450925,0.7800003683527088,0.5078451024141932,0.42265270628787655,0.29426264045595835,0.17241378774059543,25,229.7418577671051
compas,prediction_hamming,0.5,24,0.0967,0.05,0.14604748805559578,0.10598072600046786,0.04832183301822433,0.31822647998034875,0.0,0.0,0.142967443569513,0.16789307384565297,0.07737292599410847,0.23151118087015324,0.9201222681250747,0.6366799268342144,0.340835566205905,0.3723450666561119,0.19231630938141986,24,218.0665307044983
compas,prediction_hamming,1.0,14,0.1136,0.05,0.17794815579671522,0.0934153228792208,0.04986444267161919,0.3475507543304153,0.0,0.0,0.1488283031967281,0.22058534474915467,0.11338914374525957,0.3182198679252909,1.1369953398339934,1.0165025978954334,0.2736435331703063,0.24520747295621456,0.16658408434929534,14,229.95234632492065
compas,prediction_hamming,1e-05,1197,0.2761,0.05,0.06889956357961988,0.0392772035619792,0.015907175921772206,0.36791982791284655,0.0,0.0,0.19462684806283292,0.08273223502545284,0.035393686449457624,0.5442653281382823,0.39947551906736345,0.23465529161663862,0.45830090837059156,0.3028564111304307,0.1593734571845258,57,810.2594850063324
compas,support_jaccard,0.0,1323,0.276,0.05,0.06760113934460167,0.04083071691581612,0.012230197522257492,0.37135994940041206,0.0,0.0,0.2016757934446473,0.09084167524614388,0.034744337096703284,0.6016657379684197,0.4566097880250447,0.27288420154154336,0.49278195654092266,0.3117808702090338,0.1487205979371308,63,864.6321694850922
