dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,n_models_std,avg_train_accuracy,avg_train_accuracy_std,acceptance_rate,acceptance_rate_std,runtime_s,runtime_s_std,n_trials,diversity_pred_hamming,diversity_pred_hamming_std,diversity_support_hamming,diversity_support_hamming_std,diversity_support_jaccard,diversity_support_jaccard_std,diversity_weight_l1,diversity_weight_l1_std,diversity_shape_l1,diversity_shape_l1_std,diversity_monotonicity_entropy,diversity_monotonicity_entropy_std
heart,True,0.02,0.13410593414813615,0.13861386138613863,261.4,35.47957158704147,0.8658940658518638,0.0015448606346478168,0.29916,0.007369396176078471,11.03676643371582,0.5811310048193836,5,0.09820444980569801,0.0038362592441379237,0.39557071001929944,0.015830088121767935,0.7016373727339811,0.009800461583685272,0.46297590467367433,0.03997329394725627,0.9043359430960465,0.04511455938716613,0.45155709625621576,0.03351679421072088
spambase,True,0.02,0.04106660946738762,0.04607693979569659,194.6,53.327291324424124,0.9589333905326123,0.0003760839984851815,0.22792000000000004,0.006162142484558435,995.0559002876282,26.608146506954597,5,0.018290237949579912,0.0007048879497014572,0.3545325152785296,0.00922227473410975,0.5623904774116821,0.010933125679364608,0.5261074143172635,0.017367728812562974,0.7212906642547228,0.02482892383504546,0.16142523678852036,0.02141700539382583
fico,True,0.02,0.2698408187394768,0.2646,292.6,38.578491416850405,0.7301591812605233,0.00028862293941632646,0.2834,0.009178235124467004,917.2169743061065,64.62138432247349,5,0.07356361946735877,0.00424390237599331,0.3473852770535642,0.007643933781072638,0.6483195212820567,0.016692929441440036,0.28678524619371987,0.015671075830702267,0.9735245867998058,0.0634365588695702,0.44664896346265026,0.01747944658680662
compas,True,0.02,0.31887894855167437,0.3151874909512089,319.0,41.15823125451335,0.6811210514483256,0.0007001090771688041,0.32236000000000004,0.011917550083804978,267.10197739601136,5.254075348336849,5,0.06908722479679641,0.009151897895297557,0.36581204884881957,0.006060761919181096,0.6560926470246982,0.006682307211394772,0.2715698160649377,0.02047387843371646,0.9093833638441767,0.06402641040748447,0.5050815039453811,0.03983712647505168
covertype,True,0.02,0.21473726123214618,0.21198,272.8,61.933028345140684,0.7852627387678537,0.0005903514284880196,0.2678,0.009821405194777368,1448.095394706726,35.16921517290739,5,0.0543946541741183,0.004288288867768942,0.35448064434322735,0.011537465422265046,0.5626850030633945,0.019770866949148803,0.3950281375526562,0.013574912721465725,0.7044079304557017,0.03991497229972783,0.26032403746449806,0.053608605213035364
mgh,True,0.02,0.025973373378103883,0.02788,446.6,57.47434210149778,0.974026626621896,0.0001521291003033253,0.43507999999999997,0.004792911432521985,423.4956184387207,18.96991941313806,5,0.008828329607383858,0.0004561614513134702,0.3676071162541839,0.012038325983972104,0.6709417313714243,0.0049563161559455764,0.3952126629882454,0.009525579699378636,0.7038988550681861,0.01173134222315613,0.36736993812890184,0.01845308344735225
