dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,n_models_std,avg_train_accuracy,avg_train_accuracy_std,acceptance_rate,acceptance_rate_std,runtime_s,runtime_s_std,n_trials,diversity_pred_hamming,diversity_pred_hamming_std,diversity_support_hamming,diversity_support_hamming_std,diversity_support_jaccard,diversity_support_jaccard_std,diversity_weight_l1,diversity_weight_l1_std,diversity_shape_l1,diversity_shape_l1_std,diversity_monotonicity_entropy,diversity_monotonicity_entropy_std
spambase,False,,0.0418039455783944,0.0460769397956965,243.4,14.959946523968592,0.9581960544216056,0.0004363510340927,0.25892,0.0109092621198685,1537.911269235611,62.6033350333319,5,0.019253083694122,0.0007389779794426,0.3829121757748742,0.0151286292902185,0.5858543605998057,0.0120161683212703,0.5610314202800037,0.0237368725008474,0.7596754509723544,0.0343031999549419,0.1705992083882426,0.0253755386515455
spambase,True,0.0,0.041385257310972,0.0460769397956965,165.8,46.71402359035239,0.958614742689028,0.0005349485224994,0.19924,0.0055971421279077,727.4883659362793,35.338639114648494,5,0.0176238448232922,0.0004708759118989,0.3344268139864101,0.007436388517798,0.5404190541838159,0.0105978326662479,0.5022421227343349,0.0096060754615693,0.7057664732558996,0.0142316231300895,0.1191776284561481,0.0091406279582766
spambase,True,0.02,0.0415197966899379,0.0460769397956965,184.6,53.66842647218195,0.9584802033100622,0.0004994076876004,0.21452,0.0034945672121165,990.5980936050416,38.81147068589877,5,0.0178527185966628,0.0010984048897197,0.3359036391661416,0.0200133658847901,0.5411768926192273,0.0335519005395714,0.5067166170649753,0.0153507150885518,0.7186629705925686,0.0269905267928306,0.1572371410769623,0.0200012393811249
spambase,True,0.05,0.0414222557764334,0.0460769397956965,224.4,63.810657417080414,0.9585777442235666,0.0005033122114051,0.24016,0.0133898468997968,1197.061019706726,83.93912933311547,5,0.0185505268558391,0.0011064515486209,0.3689953749399192,0.0113472764099548,0.5736777763128054,0.005973746327887,0.5400494731027358,0.0121203483012301,0.7461508391122142,0.0137593806598836,0.1571079547872208,0.0269099477026509
spambase,True,0.1,0.0417350868729799,0.0460769397956965,263.8,26.109385285755007,0.9582649131270202,0.0004588431274734,0.2371599999999999,0.0055107168317742,1330.6393537521362,63.59236304750349,5,0.0188693595877748,0.0004359651906636,0.3702229778684449,0.0156117723401629,0.5774385972447561,0.016688400675809,0.5484807150880219,0.0213021717358107,0.7525491330422881,0.0136106238950936,0.157026510334959,0.0174918344671907
spambase,True,0.15,0.0412163901792178,0.0460769397956965,176.0,47.65501022977542,0.958783609820782,0.0003423290360268,0.2437999999999999,0.012256426885516,1433.2026520252227,37.24624427449624,5,0.0187356325227035,0.0004837711135424,0.3760200749189855,0.0145617474910875,0.5624615262806842,0.0182096692439474,0.5566748123106413,0.0189063026318534,0.7394641590516777,0.021614285368543,0.1727082541345996,0.0287707347472798
spambase,True,0.2,0.0409780591311629,0.0460769397956965,228.6,42.38277952187657,0.959021940868837,0.0003657728673096,0.2453999999999999,0.0032802438933713,1514.1488209724423,41.06017881157954,5,0.0187286856675162,0.000388587653191,0.3860191280683308,0.0109230176862285,0.5636119803730825,0.0137961200141956,0.5674189236376919,0.0134947412596318,0.7552405943220757,0.0310415508157142,0.189001311865421,0.0069673580945672
spambase,True,0.25,0.0412371145287849,0.0460769397956965,214.2,28.43765109849968,0.958762885471215,0.0004862772975759,0.24544,0.0095072603835174,1613.7823983192443,89.14519993632163,5,0.0186679084320281,0.0008636918842518,0.3882124590839155,0.0070364052628186,0.5702665415531107,0.0108608273775662,0.5630828497141189,0.0099960492457795,0.7588169315314487,0.0218211261002291,0.1666772544109413,0.0326849720266324
spambase,True,0.3,0.0412593177582008,0.0460769397956965,257.4,59.239345033516365,0.9587406822417992,0.0006780767373157,0.24392,0.0149536617589137,1450.8337049007416,84.32442774391004,5,0.0190827744203361,0.0010510774835794,0.3894402147380315,0.0147925941366579,0.5854857501057606,0.0155378105784553,0.574066517399034,0.0155992128462683,0.7711281636479033,0.0252122913011227,0.1676636185191089,0.014670542662474
spambase,True,0.4,0.0411594484278986,0.0460769397956965,204.2,69.589510703841,0.9588405515721016,0.0006540405240104,0.2488,0.0092509458975825,1483.310029554367,75.40035470429977,5,0.0190114164132388,0.0016642213409286,0.3802476566303198,0.0205761350844888,0.5631255021834713,0.0416005166595099,0.5667739254086595,0.0284556211765003,0.7711608234812118,0.030811813026328,0.1827092432268059,0.0177619336059127
spambase,True,0.5,0.0416971117063054,0.0460769397956965,180.6,55.41479946729032,0.9583028882936948,0.000678178509967,0.24428,0.0116564145430745,1450.8011487483975,93.11094125515334,5,0.0184831406674965,0.0013969443604387,0.3752209714351284,0.0152101626841652,0.5596319154143232,0.0137663517780541,0.5554958055669574,0.0310344910966188,0.7566932271645349,0.0298720600006895,0.1741487995793706,0.0445922595925013
