dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,n_models_std,avg_train_accuracy,avg_train_accuracy_std,acceptance_rate,runtime_s,runtime_s_std,n_trials,diversity_pred_hamming,diversity_pred_hamming_std,diversity_support_hamming,diversity_support_hamming_std,diversity_support_jaccard,diversity_support_jaccard_std,diversity_weight_l1,diversity_weight_l1_std,diversity_shape_l1,diversity_shape_l1_std,diversity_monotonicity_entropy,diversity_monotonicity_entropy_std
bike_binarized,False,,0.1080330175335092,0.1063,112.8,75.18111464989063,0.8919669824664908,0.0015050458774958,0.36268,389.9734469890594,15.609147963927729,5,0.0311757192619146,0.0132806857992552,0.345597698036573,0.1210095647996673,0.5161293942803316,0.1942127375043237,0.36583325127741,0.1617707509278949,1.5856124312783415,0.6953831756088795,0.321365711996384,0.1249001890910384
bike_binarized,True,0.0,0.1067555596239178,0.1063,38.6,21.84719661649979,0.8932444403760821,0.0017583104932499,0.0932,85.272043466568,2.9899471775823487,5,0.0201566496689509,0.0114762987657535,0.2166747228352145,0.1214519511670715,0.3293924651718874,0.1860477808166221,0.2838947963425789,0.1618822271344356,1.1671536716299649,0.6829520756215536,0.2272730876897228,0.1278768312316547
bike_binarized,True,0.02,0.107508430973498,0.1063,55.0,24.35159132377184,0.8924915690265021,0.0012844956083122,0.15872,225.93925156593323,69.38641593473652,5,0.0263509110057362,0.0078935280593626,0.3158691770540009,0.078553011146578,0.4642602947992822,0.120932088073952,0.372370395496378,0.0786506284909376,1.5865862312822894,0.4033930505136439,0.302457486027952,0.05376196331521
bike_binarized,True,0.05,0.1076409609406722,0.1063,58.8,20.51097267318154,0.8923590390593278,0.0009523528327635,0.21852,214.22336955070492,13.21900141889645,5,0.029164874396665,0.0017157171290271,0.3409587434134616,0.0376692023353443,0.5010439796291386,0.0605735259918005,0.4037568031590174,0.0355074423332938,1.8656627079882795,0.1442107060036401,0.3406073424905981,0.0294505132086977
bike_binarized,True,0.1,0.1090123978529701,0.1063,98.4,29.71195045768621,0.8909876021470298,0.0006173816921154,0.2871599999999999,302.04980363845823,12.37633582430405,5,0.0368450972852173,0.003412572019415,0.3852662273918029,0.0065788646645451,0.573938296409662,0.0199577042935954,0.4391275417401908,0.04075412582282,1.8848863177495816,0.2209041381179518,0.3428055749977638,0.0437179043937475
bike_binarized,True,0.15,0.1083820245978157,0.1063,115.4,40.56229776528939,0.8916179754021843,0.0013475933084296,0.30448,283.8505565166473,9.659364768149011,5,0.0357025390267365,0.0047059178172991,0.3924415436289154,0.0158409701197658,0.5835398206084801,0.0216863139577992,0.4244032511580348,0.0433209217976675,1.809858332912123,0.2209816568813179,0.3720689708983798,0.0293566585799161
bike_binarized,True,0.2,0.108439785594703,0.1063,101.4,31.761612049768505,0.891560214405297,0.0009278260410746,0.3176,392.5101172447205,50.05053752197541,5,0.0333662219528492,0.0045369481495402,0.3909130124074694,0.0146278596792729,0.5782432401646159,0.0212547944319684,0.449200027137885,0.0343926824508736,1.8360020716133103,0.1176185591265986,0.3698357544790402,0.0359512028760594
bike_binarized,True,0.25,0.1088909208559971,0.1063,114.2,48.49948453334324,0.8911090791440028,0.0002881543686043,0.32476,291.1339596748352,14.756652921689666,5,0.0348594375944037,0.0050835571191933,0.3881115329553441,0.0341097171890895,0.5731876721299292,0.0495063833685345,0.4343774699447292,0.0583047746148662,1.972646836230422,0.1712143401219807,0.3467961421100837,0.0511780772208611
bike_binarized,True,0.3,0.108834889632107,0.1063,82.4,15.931101656822104,0.8911651103678929,0.0007133892306129,0.34568,297.56067419052124,20.5142582845924,5,0.034679351829326,0.0058131578807473,0.3893331658595717,0.0208458290033945,0.5623859308966954,0.0168058536526794,0.438926303585533,0.0292260911472587,1.9823116941986756,0.1255856543768425,0.3297424403788018,0.0270897470913862
bike_binarized,True,0.4,0.1085450466505391,0.1063,106.6,64.65523954019504,0.8914549533494608,0.0006511310086011,0.33332,315.7392004966736,34.60413992045523,5,0.0332494921075349,0.0024533965723778,0.380682720352715,0.0408850473000183,0.5575814753876045,0.0648967979492173,0.4313305654887102,0.0459371369763225,1.8538031292951191,0.197904460710195,0.3500438336868451,0.0255441186771227
