dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,n_models_std,avg_train_accuracy,avg_train_accuracy_std,acceptance_rate,acceptance_rate_std,runtime_s,runtime_s_std,n_trials,diversity_pred_hamming,diversity_pred_hamming_std,diversity_support_hamming,diversity_support_hamming_std,diversity_support_jaccard,diversity_support_jaccard_std,diversity_weight_l1,diversity_weight_l1_std,diversity_shape_l1,diversity_shape_l1_std,diversity_monotonicity_entropy,diversity_monotonicity_entropy_std
adult,False,,0.1374562540447065,0.1383,490.6,75.25157805654311,0.8625437459552934,0.0002089049372944,0.4535999999999999,0.010167595585978,3434.9339731693267,134.95089087809208,5,0.0285134168250519,0.0018796443932329,0.3689771680556616,0.0086036179228082,0.616962683579722,0.0055276927077674,0.394926623465035,0.0268953991367249,0.512023553976188,0.0409862717646303,0.1516497180824378,0.0174801997326751
adult,True,0.0,0.1375335778650017,0.1383,352.0,28.04460732476032,0.8624664221349982,0.0001246168362365,0.3292,0.0062016126934854,1756.7739298343658,28.44854697305175,5,0.0275083180176572,0.0014499906008168,0.3237792834981924,0.0100647743998915,0.5660768700117105,0.0110105213887858,0.3529641492456511,0.0216331691568586,0.483149244749088,0.0305112893355517,0.1550651218658467,0.0319098566186786
adult,True,0.02,0.1379667163663785,0.1383,499.4,56.41187818181557,0.8620332836336215,0.0002145780532481,0.4298,0.0035580893749314,2807.468035364151,85.58102804738692,5,0.0305781843885489,0.0009666107765002,0.3540269204107458,0.0043569999426375,0.6078359782927536,0.0065680468305657,0.4128842025996192,0.0285796247439679,0.557376502228623,0.0533110000173219,0.1751419291631905,0.0200789300409747
adult,True,0.05,0.1375245469087542,0.1383,495.0,44.68221122549778,0.8624754530912458,0.0002553624394579,0.4321599999999999,0.0094840919438815,3181.248315858841,92.45387096855724,5,0.0294370190121056,0.0007329167560877,0.3607353492820685,0.0087692310699138,0.6123186020470643,0.0061602209162934,0.3983029342325764,0.0152293200937423,0.5058065592058135,0.0368092736617214,0.1596681509970142,0.0151173723891649
adult,True,0.1,0.1376590993572084,0.1383,501.6,27.60978087562449,0.8623409006427915,0.0001410639911903,0.436,0.0047853944456021,3113.1417033195494,153.44509419706787,5,0.029512614013061,0.0007614776559301,0.3665989332280693,0.0121662316032379,0.6130410869184959,0.0095368833785407,0.4096058613607524,0.0179902162197195,0.5324896342552057,0.041132690216314,0.1652557872381674,0.0170575324355901
adult,True,0.15,0.137279427129854,0.1383,470.8,95.38972691018672,0.862720572870146,0.0002793357323285,0.43308,0.0107402048397598,3333.6732955932616,66.36074261370216,5,0.0287580230154098,0.0013204932234889,0.3740234347339822,0.0114212445645826,0.6054744407824459,0.0100752920725462,0.405418472417365,0.0195665623161187,0.5241061523004984,0.0309476092123423,0.1827913599240576,0.0147372405281716
adult,True,0.2,0.1376318868662806,0.1383,470.8,74.76764005905228,0.8623681131337193,0.0005253581663882,0.42912,0.0098271053723871,3071.977963542938,101.0037448328871,5,0.0295728323099134,0.0010442752646111,0.3696197380359599,0.0060663569440933,0.6141217221965343,0.007824641564124,0.3982564210917221,0.0147088200498798,0.5043211993361065,0.0256131702132503,0.159771972300013,0.0113754783098126
adult,True,0.25,0.1375990457927504,0.1383,477.4,35.302974378938664,0.8624009542072496,0.0002600870260683,0.4325199999999999,0.0145880773236228,3099.137940120697,112.3856732745216,5,0.0299326885569006,0.0010347634577445,0.3722213664638151,0.0111430585817178,0.6120130932165697,0.0074036362773813,0.4224492306383011,0.0245001688036202,0.5402286677683206,0.0382932319730055,0.1740540758225825,0.0199841852508755
adult,True,0.3,0.1376696447760277,0.1383,486.2,23.84743172754668,0.8623303552239724,0.0001432773079521,0.4232399999999999,0.0075834029300835,3157.272950077057,150.05983961014746,5,0.0298296700541072,0.0008148269691512,0.3762793977353951,0.0070387801667676,0.6118469952121021,0.0060817182466129,0.4253741675405843,0.0129166684087475,0.5658236546995955,0.0357451993065062,0.1679508203156408,0.0193790530853141
adult,True,0.4,0.1374783452802393,0.1383,523.6,69.39596530058502,0.8625216547197606,0.0003048326692265,0.42776,0.0053167659342874,2975.5909971237184,92.528197473041,5,0.0287002295059569,0.0002660497675436,0.3686687651323831,0.0018031637115199,0.6127839702566342,0.0076160309347801,0.3982907441946183,0.0162222692865552,0.5248214714895956,0.0331820665366388,0.1586433474599145,0.0164594273411139
adult,True,0.5,0.137606053095894,0.1383,481.8,33.36465195382682,0.862393946904106,0.0002677678128518,0.41956,0.0125039193855366,2888.5839704990385,146.97808799784096,5,0.0291214754903502,0.0011966249094177,0.3642996239435751,0.0036919029750231,0.6064467080826025,0.0081597939218716,0.4108045354186102,0.0188532781985561,0.537567329523615,0.0420293115774667,0.1799430915166667,0.0190454830577324
