dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,n_models_std,avg_train_accuracy,avg_train_accuracy_std,acceptance_rate,acceptance_rate_std,runtime_s,runtime_s_std,n_trials,diversity_pred_hamming,diversity_pred_hamming_std,diversity_support_hamming,diversity_support_hamming_std,diversity_support_jaccard,diversity_support_jaccard_std,diversity_weight_l1,diversity_weight_l1_std,diversity_shape_l1,diversity_shape_l1_std,diversity_monotonicity_entropy,diversity_monotonicity_entropy_std
mgh,False,,0.0262756787260358,0.02788,547.8,38.42134823246056,0.973724321273964,0.0003476752219871,0.49624,0.009952286169519,571.13441157341,5.481361696328406,5,0.0100590955497634,0.0010503824131461,0.3729753870189792,0.0040027890673935,0.6869054936014488,0.0047672235873943,0.4273196767008256,0.0260151560348163,0.7876383128931753,0.0465699003883905,0.4019195483520777,0.0274991841931588
mgh,True,0.0,0.0258803432011732,0.02788,444.4,46.40905084140377,0.9741196567988266,0.0001834831084839,0.35864,0.0079440543804785,281.17580518722536,7.784750397239404,5,0.0089876622240554,0.0003226372158522,0.361872816788047,0.003748919058972,0.6434235970945041,0.0131756430084706,0.3984554380370412,0.0122059443903837,0.7058251485388338,0.0405949727473336,0.3893472479889601,0.0084654834288853
mgh,True,0.02,0.0259733733781038,0.02788,446.6,57.47434210149778,0.974026626621896,0.0001521291003033,0.4350799999999999,0.0047929114325219,431.1111836910248,18.371840271100183,5,0.0088283296073838,0.0004561614513134,0.3676071162541839,0.0120383259839721,0.6709417313714243,0.0049563161559455,0.3952126629882454,0.0095255796993786,0.7038988550681861,0.0117313422231561,0.3673699381289018,0.0184530834473522
mgh,True,0.05,0.0260967309760796,0.02788,503.8,34.25930530527436,0.9739032690239202,0.0001220117132622,0.45968,0.0043280480588828,485.9401449203491,14.624838147086336,5,0.0090742472230229,0.000537009860762,0.3769740751564596,0.0054311315022051,0.679584995382762,0.0084326031696334,0.4052146272575339,0.0140324819394833,0.7192614801599067,0.013655278147872,0.3680805269743871,0.0049653045950946
mgh,True,0.1,0.0260190412442782,0.02788,523.6,38.578491416850405,0.9739809587557218,9.03180156284303e-05,0.47112,0.0040014997188554,501.7584751129151,34.34244061942134,5,0.0089571177936947,0.0002154032986325,0.3705963972828313,0.0098947627765327,0.682391002648054,0.0114135704015312,0.3943467165903834,0.0093001637975588,0.703939053114142,0.0279799363055247,0.3796650209134039,0.0117941724375366
mgh,True,0.15,0.0260269888451227,0.02788,563.2,40.71486215130785,0.9739730111548772,0.0001364121484648,0.4772,0.0085790442358108,505.0046727180481,17.660682531631416,5,0.0092580051623661,0.0002218862935145,0.376892688127603,0.0075116801624772,0.6803597967746265,0.0055343667034619,0.4076994036799476,0.0103350648360457,0.7393169962846808,0.0097221576677217,0.3830702746725671,0.0297644210385501
mgh,True,0.2,0.0262402014081437,0.02788,576.4,44.41058432400997,0.9737597985918562,0.0001113893426297,0.4711599999999999,0.0073012327726213,492.93494634628297,22.786074615672867,5,0.0095836120921502,0.0008462599161571,0.3805284085013466,0.0126077719377588,0.6840943623523008,0.0042838927363728,0.4210783565092198,0.0256577296512131,0.7423640986031306,0.037529147949912,0.3941629028542219,0.0216051186573301
mgh,True,0.25,0.026098334169969,0.02788,541.2,73.95403978147509,0.973901665830031,0.0002865550529223,0.4634,0.0057775427302617,480.0533029556274,9.19100847750222,5,0.0092205066212104,0.0006642726990302,0.3678324954873913,0.0049037864345552,0.6838006960030629,0.00979932694615,0.4078916880398065,0.0233224338924345,0.7444129744203599,0.0418799566473989,0.384619346318963,0.0271685331984114
mgh,True,0.3,0.0260847133990633,0.02788,585.2,60.9483387796583,0.9739152866009366,0.0003478423583446,0.47012,0.0108042584197158,472.119407081604,16.402770322037703,5,0.0092556141464134,0.0010238252527876,0.372911844160019,0.002993319521827,0.6842380373197845,0.0044258345564281,0.4044551151828116,0.0184083534582782,0.7230076784575103,0.0405598570891756,0.3845064450997418,0.0270320121738746
mgh,True,0.4,0.026164037359813,0.02788,552.2,73.54386446196582,0.973835962640187,0.0001760594831768,0.46516,0.0063551553875574,466.5964601516724,19.81151991570716,5,0.0096123237313446,0.0001289539739804,0.3787771775722661,0.0059615999900793,0.6858563519217131,0.0046658752779572,0.4242808508306426,0.0093537121592584,0.7660587686340409,0.0302086144282855,0.3973675713862035,0.014206791782625
mgh,True,0.5,0.0260209220317294,0.02788,514.8,42.17463692789779,0.9739790779682704,8.016651658467151e-05,0.45864,0.0085245527741929,446.75059084892274,18.465709371080344,5,0.0092223537055924,0.0002911813004452,0.3693864561411618,0.004915144121272,0.6822408027865807,0.0067936371142948,0.4035711961919741,0.0075843047483223,0.7359281081810506,0.0213217540564362,0.3779137174670487,0.0139298706937118
