dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,n_models_std,avg_train_accuracy,avg_train_accuracy_std,acceptance_rate,acceptance_rate_std,runtime_s,runtime_s_std,n_trials,diversity_pred_hamming,diversity_pred_hamming_std,diversity_support_hamming,diversity_support_hamming_std,diversity_support_jaccard,diversity_support_jaccard_std,diversity_weight_l1,diversity_weight_l1_std,diversity_shape_l1,diversity_shape_l1_std,diversity_monotonicity_entropy,diversity_monotonicity_entropy_std
NIJ_Recidivism,False,,0.2888807555525814,0.2886,246.4,33.54549150034919,0.7111192444474186,0.0002830092841903,0.2231599999999999,0.0108114753849786,400.2789177894592,5.578882735337592,5,0.0277103710018965,0.0031383871493813,0.4425362761921535,0.0043002822183322,0.5918352963348237,0.0171652993231145,0.3195513502296318,0.0137486926813653,0.5911679023276303,0.0229929080221161,0.349179481026573,0.0304689452544823
NIJ_Recidivism,True,0.0,0.2887953333333333,0.2886,169.4,31.69069263995345,0.7112046666666666,0.0001984676548185,0.1190799999999999,0.0065978784468948,193.17597966194157,3.046439840374009,5,0.0269666901595279,0.0032508668790783,0.4078341071402868,0.025236872889358,0.5324848311658936,0.0359684331573105,0.3080325694489172,0.0310856698709344,0.5717433916660917,0.0472048574766213,0.3546566790053158,0.0427707772109797
NIJ_Recidivism,True,0.02,0.2887171964719772,0.2886,138.6,31.69069263995345,0.7112828035280226,0.0001122278317053,0.13232,0.0081885285613472,228.7117634296417,4.203088412917303,5,0.0256469449056525,0.002502076510575,0.3991933383314104,0.0330386036979694,0.521913655800603,0.0420110475316988,0.2904252984246598,0.0148510348878784,0.5351047481510696,0.042209124334141,0.3291993161192253,0.0442287081175408
NIJ_Recidivism,True,0.05,0.288830906786418,0.2886,187.0,47.312788968734445,0.711169093213582,9.797448625103144e-05,0.1458,0.0045497252664309,268.24984855651854,3.886895896479468,5,0.026397428564588,0.0026286807692045,0.4195849555486673,0.0206065260922144,0.5529372233203247,0.0205591917968282,0.3062473962137477,0.0086799334174487,0.5638734428763523,0.0152953616387191,0.3696115097572429,0.0311865180569144
NIJ_Recidivism,True,0.1,0.2889069012683223,0.2886,211.2,14.342245291445828,0.7110930987316776,0.0001196305436975,0.17364,0.0073367567766691,314.9890890598297,5.090509701424758,5,0.0280389656082659,0.0018116525733599,0.4299361563200124,0.0113285930715089,0.56802484982416,0.0192152227047197,0.3165844154737703,0.0156757212251638,0.5813591598664166,0.039868986069557,0.3801465464062968,0.0248424702950254
NIJ_Recidivism,True,0.15,0.2889155445362718,0.2886,211.2,30.523761236125537,0.7110844554637281,0.0001665439029591,0.1878,0.0089565618403492,340.48621463775635,6.897577258379539,5,0.0277661115377898,0.0051950550343298,0.4333877726567381,0.0161851327258976,0.5754506189712398,0.0158146228301251,0.3216273785029869,0.0339220780918135,0.5815015983849829,0.0467363621928074,0.379869054514219,0.0463415331979747
NIJ_Recidivism,True,0.2,0.2888716767676768,0.2886,198.0,28.04460732476032,0.7111283232323232,0.000135704159164,0.1836399999999999,0.0065839198051009,337.42966799736024,3.1056528591723462,5,0.0264552463991609,0.0014945769091767,0.4328340098928889,0.0128215776669447,0.573232898090239,0.0155862046327037,0.3153518239126442,0.0159290814745535,0.5790408025671738,0.0226565355893079,0.3616430502518646,0.0393310995841864
NIJ_Recidivism,True,0.25,0.2889261544011544,0.2886,202.4,29.72036338943385,0.7110738455988456,0.0001542169396076,0.18832,0.0067625439000423,348.9247725963593,5.119997777554576,5,0.0274630602618609,0.0034938501093907,0.432527326843206,0.0148429671123697,0.5764375269820461,0.0155127160105695,0.3118104034175694,0.0244788517207436,0.5574238468949814,0.0530786701252566,0.371190556787518,0.0316481666907612
NIJ_Recidivism,True,0.3,0.2888347303807304,0.2886,209.0,77.0,0.7111652696192695,0.0001953275153129,0.1846799999999999,0.0081481286195052,343.2281447410584,8.89306286790642,5,0.0276198513805687,0.0030528916729732,0.4411228814016797,0.0221451962407676,0.5874315430576115,0.024857857140051,0.3122430769378798,0.0291517286858685,0.5731502346161331,0.0457690074116324,0.3595732097746092,0.04073281237139
NIJ_Recidivism,True,0.4,0.2888822312868949,0.2886,233.2,47.56784628296724,0.711117768713105,0.000133162145353,0.19836,0.0091775813807342,352.24358425140383,8.608572368939878,5,0.0258387750009057,0.0014051868870038,0.4365265348132533,0.0167388055982446,0.5727184939411423,0.015593891122088,0.3119310840802755,0.0208211929426682,0.5798597029732189,0.0345222871725176,0.3551673527000384,0.0339496690731062
NIJ_Recidivism,True,0.5,0.2889024781644193,0.2886,250.8,26.262140049889307,0.7110975218355806,0.000133987933575,0.1938,0.0162634559672905,351.10952467918395,6.805097135914931,5,0.0270788383749977,0.0024983131825394,0.4366286005815927,0.0128614206161488,0.5836353036629092,0.0153052912642526,0.31078846452082,0.0249921105941914,0.5709405795527148,0.0521629796625572,0.3513559352665206,0.0252766292038912
