dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,n_models_std,avg_train_accuracy,avg_train_accuracy_std,acceptance_rate,acceptance_rate_std,runtime_s,runtime_s_std,n_trials,diversity_pred_hamming,diversity_pred_hamming_std,diversity_support_hamming,diversity_support_hamming_std,diversity_support_jaccard,diversity_support_jaccard_std,diversity_weight_l1,diversity_weight_l1_std,diversity_shape_l1,diversity_shape_l1_std,diversity_monotonicity_entropy,diversity_monotonicity_entropy_std
heart,True,0.0,0.13831281238536014,0.13861386138613863,266.0,48.399380161320245,0.8616871876146398,0.002819797359101755,0.28868,0.015357473750588012,10.1059241771698,0.3363508951972152,5,0.10016862792126405,0.0018893181906430487,0.3826473172103053,0.00473536162949122,0.7016476351633615,0.015344601539705563,0.45784438395430793,0.008151397354093573,0.9422128081813002,0.03949532279808783,0.47389308960691146,0.04043712499048218
spambase,True,0.0,0.04195842098046603,0.04607693979569659,217.8,50.4053568581753,0.958041579019534,0.0002181110413091277,0.20072,0.006995141170841373,692.8798628807068,42.85360460169387,5,0.018693621150237694,0.0008304342407255533,0.3375814196636596,0.010512856855189578,0.547237743048971,0.01663579353460644,0.5090069750202594,0.010133871242684028,0.7168158272465901,0.018675536748256536,0.1591161138956976,0.030413330939133083
fico,True,0.0,0.2695504284121676,0.2646,275.0,53.32447843157962,0.7304495715878325,0.0004951206551891523,0.24808000000000002,0.00645848279396949,806.9828757286072,33.45211576619606,5,0.0703799673705946,0.003591657243140002,0.3425510134486198,0.011870935395069861,0.6312661320410562,0.012037213698868307,0.2992457891212561,0.013337823761316326,1.0089812422583244,0.06328447611187438,0.44003307766963473,0.010376837613467381
compas,True,0.0,0.3184413416897457,0.3151874909512089,299.2,51.241584674949316,0.6815586583102544,0.000502239831330087,0.27632,0.005303960784168756,210.92865200042723,10.164424847905494,5,0.06708906826896101,0.00542403923401406,0.35749892621270596,0.008906623741695215,0.6385663556531229,0.01803715964284584,0.2716277883319843,0.011225080437367986,0.8473314393770124,0.09060723970341561,0.4825503826400535,0.03979682694300782
covertype,True,0.0,0.21420210817953977,0.21198,235.4,24.09979253022731,0.7857978918204603,0.000976492875389668,0.22832,0.008761963250322385,1038.920276784897,40.104979897844885,5,0.04923376458323061,0.00277804361604874,0.33653186735769103,0.0177522221657459,0.5315786551523143,0.013529225744922456,0.36543605884150854,0.022273811998943117,0.6793098064082125,0.04086211671605013,0.21218565154146618,0.054373416697028304
mgh,True,0.0,0.0258803432011732,0.02788,444.4,46.40905084140377,0.9741196567988266,0.00018348310848390967,0.35864,0.007944054380478517,279.4560233592987,8.274420234720774,5,0.008987662224055473,0.0003226372158522988,0.36187281678804706,0.003748919058972013,0.6434235970945041,0.013175643008470659,0.3984554380370412,0.012205944390383732,0.7058251485388338,0.040594972747333674,0.38934724798896014,0.008465483428885376
